"GeneID","Symbol"
"gene-LAMP3|LAMP3","LAMP3"
"gene-RASAL3|RASAL3","RASAL3"
"gene-PRKAR1A|PRKAR1A","PRKAR1A"
"gene-PEX14|PEX14","PEX14"
"gene-ZNRF3|ZNRF3","ZNRF3"
"gene-FUNDC2|FUNDC2","FUNDC2"
"gene-RABL6|RABL6","RABL6"
"gene-GMNC|GMNC","GMNC"
"gene-MGAT4A|MGAT4A","MGAT4A"
"gene-NRSN1|NRSN1","NRSN1"
"gene-FBXL21P|FBXL21P","FBXL21P"
"gene-CHIC2|CHIC2","CHIC2"
"gene-UBASH3A|UBASH3A","UBASH3A"
"gene-ARID2|ARID2","ARID2"
"gene-HPCAL1|HPCAL1","HPCAL1"
"gene-SFSWAP|SFSWAP","SFSWAP"
"gene-HACL1|HACL1","HACL1"
"gene-GLYR1|GLYR1","GLYR1"
"gene-DUT|DUT","DUT"
"gene-EIF3A|EIF3A","EIF3A"
"gene-DYRK2|DYRK2","DYRK2"
"gene-LRCH1|LRCH1","LRCH1"
"gene-LOC140684358|LOC140684358","LOC140684358"
"gene-BRD1|BRD1","BRD1"
"gene-DNAJB14|DNAJB14","DNAJB14"
"gene-LOC121468081|LOC121468081","LOC121468081"
"gene-SMARCC1|SMARCC1","SMARCC1"
"gene-LOC121470636|LOC121470636","LOC121470636"
"gene-PSMA4|PSMA4","PSMA4"
"gene-MTPAP|MTPAP","MTPAP"
"gene-LOC100218379|LOC100218379","LOC100218379"
"gene-URI1|URI1","URI1"
"gene-SNRPF|SNRPF","SNRPF"
"gene-MBTPS2|MBTPS2","MBTPS2"
"gene-TRAP1|TRAP1","TRAP1"
"gene-SMCO4|SMCO4","SMCO4"
"gene-ARPP21|ARPP21","ARPP21"
"gene-CPSF6|CPSF6","CPSF6"
"gene-STXBP1|STXBP1","STXBP1"
"gene-MRPL37|MRPL37","MRPL37"
"gene-STAT6|STAT6","STAT6"
"gene-TMC7|TMC7","TMC7"
"gene-UBR1|UBR1","UBR1"
"gene-PUM3|PUM3","PUM3"
"gene-LZIC|LZIC","LZIC"
"gene-MCMBP|MCMBP","MCMBP"
"gene-FAF1|FAF1","FAF1"
"gene-UGCG|UGCG","UGCG"
"gene-ETS1|ETS1","ETS1"
"gene-TMEM62|TMEM62","TMEM62"
"gene-ITK|ITK","ITK"
"gene-KCTD20|KCTD20","KCTD20"
"gene-LAP3|LAP3","LAP3"
"gene-LOC100218233|LOC100218233","LOC100218233"
"gene-DNAJC3|DNAJC3","DNAJC3"
"gene-ATP6V0A2|ATP6V0A2","ATP6V0A2"
"gene-FER|FER","FER"
"gene-ECHDC3|ECHDC3","ECHDC3"
"gene-PFKL|PFKL","PFKL"
"gene-VILL|VILL","VILL"
"gene-TMEM168|TMEM168","TMEM168"
"gene-JAK1|JAK1","JAK1"
"gene-INTS4|INTS4","INTS4"
